City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Albany,US,88.68,clear sky,42.6001,-73.9662,
11,Kapaa,US,80.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Nikolskoye,RU,82.87,clear sky,59.7035,30.7861,Tourist House - Sablino
15,Noyon,FR,81.25,overcast clouds,49.5833,3.0,Cit'Hotel le Cèdre
20,Nara,JP,79.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
21,Fort-Shevchenko,KZ,77.36,broken clouds,44.5086,50.263,Oasis hotel Bautino
22,Hami,CN,78.66,clear sky,42.8,93.45,Laoyutang Resort
26,Karpathos,GR,76.96,clear sky,35.507,27.2132,Alex
27,Jamestown,US,79.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
28,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
30,Alexandria,EG,80.01,clear sky,31.2156,29.9553,Royal Crown Hotel
32,Puerto Triunfo,CO,87.37,overcast clouds,5.8726,-74.6403,Hotel el Mirador
35,Puerto Leguizamo,CO,77.25,overcast clouds,-0.1934,-74.7819,la casona de juancho
36,Meulaboh,ID,78.49,heavy intensity rain,4.1363,96.1285,Kost Pria
37,Atuona,PF,77.13,few clouds,-9.8,-139.0333,Villa Enata
39,Pemangkat,ID,79.88,broken clouds,1.1667,108.9667,Ramah Kost KITA
41,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
42,Kupang,ID,75.25,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
45,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
46,Banda Aceh,ID,81.14,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
50,Fukue,JP,77.74,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
51,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
58,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
67,Siderno,IT,86.81,clear sky,38.2779,16.302,Grand Hotel President
74,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
76,Katsuura,JP,77.77,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
80,Victoria,HK,87.33,clear sky,22.2855,114.1577,Mini Central
82,Aksu,CN,84.7,clear sky,41.1231,80.2644,Pudong Holiday Hotel
91,Broome,US,89.69,clear sky,42.2506,-75.833,Chenango Valley State Park
92,Avera,US,83.71,overcast clouds,33.194,-82.5271,
99,Faya,SA,75.31,light rain,18.3851,42.4509,املاك خالد الشعشوع
102,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
103,Butaritari,KI,79.86,broken clouds,3.0707,172.7902,Isles Sunset Lodge
107,Owando,CG,83.5,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
116,Asilah,MA,85.96,overcast clouds,35.465,-6.0348,Hotel Zelis
119,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
123,Hithadhoo,MV,81.54,overcast clouds,-0.6,73.0833,Scoop Guest House
126,Borba,BR,78.91,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
128,Ewo,CG,86.67,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
134,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
136,Samarai,PG,79.88,clear sky,-10.6167,150.6667,Nuli Sapi
139,Ban Dung,TH,77.11,moderate rain,17.699,103.2596,Heuan Na Khee
141,Siauliai,LT,82.42,clear sky,55.9333,23.3167,Saulys Hotel
143,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
144,Makasar,ID,75.25,few clouds,-5.14,119.4221,Aryaduta Makassar
147,Bengkulu,ID,76.3,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
150,Kavieng,PG,80.94,light rain,-2.5744,150.7967,Nusa Island Retreat
151,Ann Arbor,US,84.4,clear sky,42.2776,-83.7409,The University Inn Ann Arbor
154,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,Beau Site
156,Maragogi,BR,77.61,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
159,Isangel,VU,76.08,few clouds,-19.55,169.2667,Tanna Lodge
162,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
164,Catalao,BR,80.26,clear sky,-18.1658,-47.9464,Mara Turismo Hotel
166,Itarema,BR,88.63,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
168,Labuhan,ID,76.24,broken clouds,-6.8844,112.2051,DoubleFAG
171,Amor,PT,87.17,scattered clouds,39.804,-8.8598,LISOTEL - hotel & spa
175,Harper,LR,77.76,broken clouds,4.375,-7.7169,Screensaver
177,Trairi,BR,82.92,overcast clouds,-3.2778,-39.2689,janelas do mar
181,Sola,VU,80.58,clear sky,-13.8833,167.55,Leumerus Bungalows
183,Ixtapa,MX,89.22,scattered clouds,20.7,-105.2,hotel la terminal
185,Valley City,US,75.72,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
188,Mandera,KE,87.87,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
