City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,29.86,93,100,19.57,heavy snow
1,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,6.91,overcast clouds
2,Vaini,TO,-21.2,-175.2,74.01,75,5,9.33,clear sky
3,Albany,US,42.6001,-73.9662,88.68,64,8,1.01,clear sky
4,Yellowknife,CA,62.456,-114.3525,63.12,55,20,5.99,few clouds
5,Busselton,AU,-33.65,115.3333,56.7,75,75,10.92,broken clouds
6,Thompson,CA,55.7435,-97.8558,60.96,94,100,9.22,overcast clouds
7,Olinda,BR,-8.0089,-34.8553,73.13,94,75,9.22,broken clouds
8,Clyde River,CA,70.4692,-68.5914,39.43,93,100,16.11,light rain
9,Karratha,AU,-20.7377,116.8463,71.42,82,1,7.47,clear sky
10,Port Alfred,ZA,-33.5906,26.891,58.17,78,0,8.72,clear sky
11,Kapaa,US,22.0752,-159.319,80.19,81,100,19.57,light rain
12,Ust-Maya,RU,60.4167,134.5333,65.21,73,100,3.24,overcast clouds
13,Bluff,NZ,-46.6,168.3333,40.8,79,98,7.83,overcast clouds
14,Nikolskoye,RU,59.7035,30.7861,82.87,50,0,4.09,clear sky
15,Noyon,FR,49.5833,3.0,81.25,51,94,9.37,overcast clouds
16,San Quintin,MX,30.4833,-115.95,71.69,75,100,9.98,overcast clouds
17,Ilulissat,GL,69.2167,-51.1,62.62,48,75,10.36,broken clouds
18,Hilo,US,19.7297,-155.09,73.27,99,62,3.0,moderate rain
19,Iqaluit,CA,63.7506,-68.5145,38.93,100,100,8.05,light intensity drizzle
20,Nara,JP,34.6851,135.8049,79.5,69,87,0.69,overcast clouds
21,Fort-Shevchenko,KZ,44.5086,50.263,77.36,68,63,22.19,broken clouds
22,Hami,CN,42.8,93.45,78.66,21,0,2.17,clear sky
23,Chuy,UY,-33.6971,-53.4616,64.0,85,100,8.77,overcast clouds
24,Provideniya,RU,64.3833,-173.3,39.76,77,99,9.93,overcast clouds
25,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,54,16.73,light rain
26,Karpathos,GR,35.507,27.2132,76.96,69,0,33.38,clear sky
27,Jamestown,US,42.097,-79.2353,79.02,74,100,14.97,overcast clouds
28,Hasaki,JP,35.7333,140.8333,79.29,91,100,13.6,overcast clouds
29,Mataura,NZ,-46.1927,168.8643,40.48,95,100,1.79,overcast clouds
30,Alexandria,EG,31.2156,29.9553,80.01,61,0,16.53,clear sky
31,Sivas,TR,39.7916,37.0019,63.23,63,40,18.41,scattered clouds
32,Puerto Triunfo,CO,5.8726,-74.6403,87.37,52,99,2.08,overcast clouds
33,Haines Junction,CA,60.7522,-137.5108,46.56,79,96,3.4,overcast clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,73.36,92,84,7.0,broken clouds
35,Puerto Leguizamo,CO,-0.1934,-74.7819,77.25,79,99,1.59,overcast clouds
36,Meulaboh,ID,4.1363,96.1285,78.49,83,100,4.97,heavy intensity rain
37,Atuona,PF,-9.8,-139.0333,77.13,76,13,15.7,few clouds
38,Noyabrsk,RU,63.1994,75.4507,53.94,66,99,11.34,overcast clouds
39,Pemangkat,ID,1.1667,108.9667,79.88,83,69,7.72,broken clouds
40,Shizunai,JP,42.3339,142.3669,65.44,94,26,5.73,scattered clouds
41,Salalah,OM,17.0151,54.0924,77.09,94,100,8.05,overcast clouds
42,Kupang,ID,-10.1667,123.5833,75.25,79,13,12.57,few clouds
43,Nanortalik,GL,60.1432,-45.2371,52.27,74,7,14.5,clear sky
44,Srednekolymsk,RU,67.45,153.6833,41.59,54,18,6.02,few clouds
45,Bathsheba,BB,13.2167,-59.5167,88.41,83,75,27.63,broken clouds
46,Banda Aceh,ID,5.5577,95.3222,81.14,76,100,7.23,overcast clouds
47,Talcahuano,CL,-36.7167,-73.1167,51.48,100,100,2.3,overcast clouds
48,Sorland,NO,67.667,12.6934,53.98,92,100,18.12,overcast clouds
49,Rikitea,PF,-23.1203,-134.9692,74.32,73,21,10.07,few clouds
50,Fukue,JP,32.6881,128.8419,77.74,79,85,16.35,overcast clouds
51,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,8.05,few clouds
52,Nome,US,64.5011,-165.4064,46.47,93,100,3.44,overcast clouds
53,Mehamn,NO,71.0357,27.8492,60.75,77,0,1.14,light rain
54,Pingzhuang,CN,42.0372,119.2889,69.93,73,45,1.48,scattered clouds
55,Hobart,AU,-42.8794,147.3294,40.26,90,0,1.01,clear sky
56,Coracora,PE,-15.0333,-73.7833,65.07,18,19,2.53,few clouds
57,Carnarvon,AU,-24.8667,113.6333,66.76,63,85,15.3,overcast clouds
58,Miri,MY,4.4148,114.0089,80.74,94,20,2.3,few clouds
59,Punta Arenas,CL,-53.15,-70.9167,33.91,86,20,17.27,few clouds
60,Cape Town,ZA,-33.9258,18.4232,61.27,73,0,9.22,clear sky
61,Cherskiy,RU,68.75,161.3,32.38,94,13,10.58,few clouds
62,Dalbandin,PK,28.8947,64.4101,99.95,14,56,4.76,broken clouds
63,Kysyl-Syr,RU,63.8986,122.7617,61.2,99,100,6.73,overcast clouds
