City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Oranjemund,NA,2022-07-20 02:33:28,-28.55,16.4333,51.46,86,0,13.13
1,Oranjemund,NA,2022-07-20 02:33:28,-28.55,16.4333,51.46,86,0,13.13
2,Severo-Kurilsk,RU,2022-07-20 02:36:52,50.6789,156.125,51.58,98,99,17.09
3,Butaritari,KI,2022-07-20 02:40:26,3.0707,172.7902,82.53,77,97,13.49
4,Punta Arenas,CL,2022-07-20 02:40:27,-53.15,-70.9167,35.71,80,75,44.87
5,Lagoa,PT,2022-07-20 02:40:27,39.05,-27.9833,70.99,88,0,8.16
6,San Lorenzo,PY,2022-07-20 02:40:27,-25.3333,-57.5333,60.49,95,2,4.65
7,Kapaa,US,2022-07-20 02:40:27,22.0752,-159.319,85.98,74,20,18.41
8,Busselton,AU,2022-07-20 02:40:28,-33.65,115.3333,62.31,70,93,15.1
9,Beloha,MG,2022-07-20 02:40:28,-25.1667,45.05,60.42,71,0,8.19
10,Palmar,CR,2022-07-20 02:40:28,9.8728,-84.4553,79.77,93,100,3.11
11,Atuona,PF,2022-07-20 02:40:29,-9.8,-139.0333,77.65,72,44,12.37
12,Luziania,BR,2022-07-20 02:40:29,-16.2525,-47.9503,67.69,49,6,3.15
13,Provideniya,RU,2022-07-20 02:40:29,64.3833,-173.3,51.91,71,0,13.42
14,Karratha,AU,2022-07-20 02:40:30,-20.7377,116.8463,77.65,28,0,17.2
15,Jamestown,US,2022-07-20 02:37:50,42.097,-79.2353,76.59,73,20,11.5
16,Isla Mujeres,MX,2022-07-20 02:40:30,21.2311,-86.731,84.25,85,45,10.71
17,Hobart,AU,2022-07-20 02:39:59,-42.8794,147.3294,47.05,72,2,1.01
18,Les Cayes,HT,2022-07-20 02:39:41,18.2,-73.75,79.14,79,37,3.18
19,Victoria,HK,2022-07-20 02:40:31,22.2855,114.1577,91.45,74,100,11.99
20,Mahebourg,MU,2022-07-20 02:39:17,-20.4081,57.7,70.09,60,40,20.71
21,Port Elizabeth,ZA,2022-07-20 02:37:41,-33.918,25.5701,54.32,97,75,12.66
22,Ajdabiya,LY,2022-07-20 02:40:31,30.7554,20.2263,73.29,60,0,10.8
23,Saint-Philippe,RE,2022-07-20 02:40:32,-21.3585,55.7679,71.22,76,50,18.79
24,Meulaboh,ID,2022-07-20 02:40:32,4.1363,96.1285,82.65,66,35,1.9
25,Yellowknife,CA,2022-07-20 02:37:47,62.456,-114.3525,70.32,56,75,13.8
26,Acapulco,MX,2022-07-20 02:36:15,16.8634,-99.8901,85.82,74,100,3.44
27,Bambous Virieux,MU,2022-07-20 02:40:32,-20.3428,57.7575,70.05,60,40,20.71
28,Olafsvik,IS,2022-07-20 02:40:33,64.8945,-23.7142,50.4,82,63,11.63
29,Shenjiamen,CN,2022-07-20 02:40:33,29.9576,122.298,80.91,86,100,14.58
30,Barrow,US,2022-07-20 02:39:08,71.2906,-156.7887,37.92,85,100,17.96
31,Darnah,LY,2022-07-20 02:40:33,32.767,22.6367,74.35,67,0,21.36
32,Trelew,AR,2022-07-20 02:40:34,-43.249,-65.3051,51.73,61,91,11.48
33,Paragominas,BR,2022-07-20 02:40:34,-2.9667,-47.4833,71.49,87,68,3.4
34,Tiksi,RU,2022-07-20 02:38:26,71.6872,128.8694,34.72,96,100,14.81
35,Awbari,LY,2022-07-20 02:40:34,26.5921,12.7805,76.95,31,3,8.97
36,Windhoek,NA,2022-07-20 02:40:30,-22.5594,17.0832,45.37,53,0,2.71
37,Kavieng,PG,2022-07-20 02:36:15,-2.5744,150.7967,84.2,68,100,8.9
38,Oxapampa,PE,2022-07-20 02:40:35,-10.5775,-75.4017,55.33,95,8,3.83
39,Tura,IN,2022-07-20 02:40:35,25.5198,90.2201,75.25,98,100,6.58
40,Todos Santos,MX,2022-07-20 02:40:36,23.45,-110.2167,88.3,88,45,4.12
41,Qaanaaq,GL,2022-07-20 02:36:15,77.484,-69.3632,40.3,76,97,1.79
42,Castro,BR,2022-07-20 02:37:11,-24.7911,-50.0119,57.22,96,2,3.74
43,Cape Town,ZA,2022-07-20 02:40:30,-33.9258,18.4232,58.37,71,5,5.99
44,Khalkhal,IR,2022-07-20 02:40:36,37.6189,48.5258,64.06,50,0,6.96
45,Hermanus,ZA,2022-07-20 02:40:36,-34.4187,19.2345,51.91,73,24,5.08
46,Dickinson,US,2022-07-20 02:40:37,29.4608,-95.0513,89.13,79,15,11.39
47,Rikitea,PF,2022-07-20 02:40:37,-23.1203,-134.9692,74.23,77,3,7.23
48,Puerto Ayora,EC,2022-07-20 02:40:37,-0.7393,-90.3518,67.55,98,50,1.99
49,Esperance,AU,2022-07-20 02:41:38,-33.8667,121.9,60.91,66,100,14.12
50,Thinadhoo,MV,2022-07-20 02:41:38,0.5333,72.9333,81.23,69,88,2.13
51,College,US,2022-07-20 02:41:38,64.8569,-147.8028,55.35,90,100,5.75
52,Sao Joao Da Barra,BR,2022-07-20 02:41:39,-21.6403,-41.0511,70.02,92,53,9.19
53,Nusaybin,TR,2022-07-20 02:41:39,37.0778,41.2178,87.73,18,0,7.25
54,Avarua,CK,2022-07-20 02:41:39,-21.2078,-159.775,78.85,61,40,8.05
55,Cherskiy,RU,2022-07-20 02:41:40,68.75,161.3,47.34,59,79,14.36
56,Port Alfred,ZA,2022-07-20 02:37:32,-33.5906,26.891,57.18,96,100,4.0
57,Ushuaia,AR,2022-07-20 02:37:59,-54.8,-68.3,30.11,98,100,2.55
58,Virginia Beach,US,2022-07-20 02:40:03,36.8529,-75.978,82.44,87,75,4.61
59,Mar Del Plata,AR,2022-07-20 02:37:27,-38.0023,-57.5575,46.09,75,0,12.66
